p,q,x,y,z,theta,phi,rootid
17,11,-0.174117,0.283774,0.942951,19.4469,-121.5323,720575940647731332
19,10,-0.351673,0.191618,0.916302,23.6087,-151.4151,720575940617573718
15,15,0.127314,0.098785,0.986931,9.2733,-37.8085,720575940626122279
16,13,-0.002034,0.20921,0.977869,12.0766,-90.5571,720575940620312625
15,16,0.148834,0.021084,0.988637,8.6455,-8.0628,720575940623793993
17,12,-0.12156,0.227553,0.966148,14.9506,-118.1113,720575940623038814
18,11,-0.253234,0.229795,0.939716,19.9961,-137.7781,720575940618172500
16,14,0.022983,0.129721,0.991284,7.5702,-79.9532,720575940614356461
19,11,-0.321251,0.196053,0.926478,22.1077,-148.6051,720575940620014445
17,13,-0.081963,0.166623,0.982608,10.7014,-116.1928,720575940631492603
18,12,-0.200238,0.175319,0.963934,15.4349,-138.796,720575940628994603
17,14,-0.053479,0.08801,0.994683,5.911,-121.2847,720575940642297997
