p,q,x,y,z,theta,phi,hex1,hex2
3,-8,-0.330905,-0.936739,-0.114115,96.5526,109.4559,10,22
2,-6,-0.063643,-0.997398,-0.033857,91.9402,93.6511,12,21
0,-2,0.418707,-0.905598,0.067646,86.1212,65.1864,16,19
-3,5,0.865279,-0.45698,0.20606,78.1084,27.8399,23,16
-5,11,0.969683,0.073812,0.232951,76.5291,-4.3529,29,14
1,-4,0.184729,-0.98267,0.01536,89.1199,79.3534,14,20
5,-11,-0.792545,-0.546459,-0.270656,105.7033,145.4138,7,24
-4,8,0.946401,-0.202577,0.251572,75.4295,12.0819,26,15
-2,3,0.763065,-0.627464,0.154986,81.084,39.4302,21,17
4,-9,-0.503191,-0.851298,-0.148632,98.5476,120.5868,9,23
-1,1,0.637421,-0.761955,0.114539,83.423,50.0855,19,18
-3,6,0.889602,-0.392291,0.233914,76.4724,23.7962,24,16
3,-7,-0.226457,-0.972296,-0.057942,93.3217,103.111,11,22
0,-1,0.474549,-0.876643,0.079382,85.447,61.5722,17,19
-4,9,0.952871,-0.128735,0.274706,74.0555,7.6942,27,15
1,-3,0.263967,-0.963406,0.046577,87.3304,74.6774,15,20
2,-5,0.032423,-0.999436,0.008736,89.4994,88.1419,13,21
5,-10,-0.689693,-0.694659,-0.204383,101.7934,134.7944,8,24
-2,4,0.794994,-0.572835,0.199612,78.4857,35.7748,22,17
-1,2,0.676627,-0.720445,0.152104,81.2511,46.7964,20,18
-3,7,0.907603,-0.329418,0.26027,74.9139,19.9486,25,16
4,-8,-0.402733,-0.911268,-0.086001,94.9336,113.8429,10,23
-4,10,0.956214,-0.057624,0.286938,73.3253,3.4486,28,15
0,0,0.53707,-0.835379,0.117033,83.2791,57.2628,18,19
1,-2,0.340802,-0.93774,0.067067,86.1545,70.0274,16,20
3,-6,-0.139545,-0.990216,-0.000167,90.0096,98.0215,12,22
-2,5,0.82637,-0.508072,0.242848,75.9453,31.5842,23,17
2,-4,0.122539,-0.99151,0.043493,87.5073,82.9547,14,21
-4,11,0.954744,0.013313,0.29713,72.7147,-0.7989,29,15
5,-9,-0.592542,-0.795668,-0.12572,97.2223,126.6754,9,24
-3,8,0.920574,-0.262704,0.289015,73.201,15.9271,26,16
-1,3,0.718855,-0.669062,0.188691,79.1236,42.9453,21,18
