p,q,x,y,z,theta,phi,hex1,hex2
8,10,0.426061,0.471059,0.772383,39.4317,-47.8714,28,27
11,5,-0.032411,0.732414,0.680088,47.1495,-92.5339,23,30
15,1,-0.677155,0.48352,0.554679,56.3114,-144.4714,19,34
7,12,0.531584,0.322933,0.783028,38.4614,-31.2784,30,26
6,14,0.600223,0.178963,0.779554,38.7802,-16.6025,32,25
10,7,0.170668,0.642485,0.747051,41.6644,-75.1237,25,29
12,4,-0.192066,0.715123,0.672094,47.7711,-105.0336,22,31
9,9,0.34845,0.538236,0.767388,39.8801,-57.0813,27,28
14,2,-0.503937,0.623833,0.597395,53.3165,-128.9315,20,33
13,3,-0.339434,0.679597,0.650332,49.4333,-116.5405,21,32
8,11,0.451212,0.409496,0.792919,37.5409,-42.2252,29,27
6,15,0.623695,0.086075,0.776914,39.0211,-7.8577,33,25
7,13,0.53596,0.267225,0.800835,36.79,-26.5005,31,26
11,6,0.025168,0.691742,0.721706,43.8045,-87.9163,24,30
6,16,0.627125,-0.009894,0.778856,38.844,0.9038,34,25
10,8,0.228409,0.588074,0.775885,39.1146,-68.7737,26,29
15,2,-0.617446,0.537028,0.57477,54.9165,-138.9846,20,34
9,10,0.374445,0.477689,0.794736,37.3697,-51.9083,28,28
12,5,-0.126253,0.687787,0.714849,44.3691,-100.4016,23,31
8,12,0.477148,0.343447,0.808934,36.0081,-35.746,30,27
7,14,0.552035,0.197783,0.810024,35.9017,-19.7116,32,26
14,3,-0.424673,0.620678,0.659099,48.7688,-124.3802,21,33
13,4,-0.288807,0.665164,0.688583,46.4819,-113.4699,22,32
11,7,0.083094,0.630439,0.771779,39.4861,-82.4915,25,30
10,9,0.266647,0.54012,0.798229,37.0387,-63.7253,27,29
9,11,0.387228,0.41973,0.820902,34.8248,-47.3065,29,28
7,15,0.568437,0.10961,0.815393,35.3738,-10.9142,33,26
8,13,0.494241,0.279878,0.82304,34.6098,-29.5219,31,27
12,6,-0.056911,0.664291,0.745305,41.8147,-94.8967,24,31
15,3,-0.514703,0.556822,0.651943,49.3117,-132.749,21,34
7,16,0.577013,0.031997,0.816108,35.303,-3.174,34,26
7,17,0.597461,-0.059533,0.799685,36.9,5.6904,35,26
13,5,-0.224538,0.647923,0.727858,43.2928,-109.1138,23,32
11,8,0.133611,0.586236,0.799047,36.9608,-77.1609,26,30
14,4,-0.360745,0.613757,0.702257,45.3916,-120.4455,22,33
16,3,-0.591678,0.486889,0.642539,50.0186,-140.5492,21,35
10,10,0.297277,0.485792,0.821969,34.7176,-58.5357,28,29
9,12,0.408819,0.356495,0.840106,32.8487,-41.0889,30,28
8,14,0.498979,0.212439,0.840173,32.8416,-23.0617,32,27
12,7,-0.008706,0.613907,0.78933,37.877,-90.8124,25,31
11,9,0.175829,0.528932,0.83025,33.8756,-71.612,27,30
10,11,0.313652,0.431505,0.845829,32.2392,-53.9874,29,29
15,4,-0.444535,0.547185,0.709209,44.8294,-129.0905,22,34
8,15,0.511904,0.126459,0.849684,31.8227,-13.8763,33,27
9,13,0.430997,0.29463,0.852898,31.4717,-34.3565,31,28
13,6,-0.155848,0.613656,0.77404,39.282,-104.2499,24,32
14,5,-0.303985,0.601298,0.738941,42.3587,-116.8187,23,33
8,16,0.524204,0.049317,0.850163,31.7706,-5.3746,34,27
12,8,0.040371,0.568871,0.821436,34.7712,-85.9407,26,31
16,4,-0.54825,0.477888,0.686327,46.6599,-138.9227,22,35
8,17,0.530963,-0.056836,0.845487,32.2759,6.1098,35,27
11,10,0.218317,0.476363,0.851714,31.6014,-65.3781,28,30
10,12,0.347911,0.367053,0.862688,30.3803,-46.5337,30,29
9,14,0.438456,0.231846,0.868334,29.7344,-27.869,32,28
13,7,-0.106649,0.5802,0.807461,36.1514,-100.4156,25,32
15,5,-0.384944,0.532879,0.753564,41.0999,-125.8438,23,34
14,6,-0.245853,0.577622,0.778402,38.8855,-113.056,24,33
12,9,0.084342,0.516837,0.851919,31.579,-80.7316,27,31
9,15,0.447682,0.146974,0.882031,28.1116,-18.175,33,28
11,11,0.25204,0.417831,0.872865,29.2067,-58.9012,29,30
10,13,0.367406,0.302333,0.87955,28.4119,-39.4504,31,29
16,5,-0.466469,0.462069,0.754254,41.0398,-135.2715,23,35
13,8,-0.050738,0.544595,0.837163,33.1583,-95.3227,26,32
9,16,0.465575,0.054815,0.883309,27.9558,-6.7148,34,28
17,5,-0.566259,0.366755,0.738134,42.4273,-147.0696,23,36
12,10,0.12688,0.464367,0.876507,28.7761,-74.718,28,31
9,17,0.474659,-0.036848,0.879398,28.4302,4.439,35,28
11,12,0.280465,0.360299,0.889676,27.1674,-52.102,30,30
10,14,0.382864,0.232944,0.893953,26.6257,-31.3174,32,29
14,7,-0.188553,0.539658,0.820498,34.8653,-109.2591,25,33
15,6,-0.327839,0.527764,0.783573,38.4111,-121.8479,24,34
13,9,0.008089,0.496771,0.867844,29.791,-89.0671,27,32
12,11,0.172801,0.406383,0.897214,26.2058,-66.964,29,31
10,15,0.38545,0.15337,0.909893,24.5094,-21.6976,33,29
11,13,0.314153,0.306866,0.89841,26.0501,-44.3278,31,30
16,6,-0.407109,0.454258,0.792409,37.5888,-131.8669,24,35
14,8,-0.136358,0.504017,0.852862,31.4757,-105.1385,26,33
15,7,-0.273935,0.497072,0.823334,34.58,-118.859,25,34
10,16,0.398002,0.067203,0.91492,23.8057,-9.584,34,29
17,6,-0.502652,0.365167,0.783577,38.4107,-144.0023,24,36
13,10,0.05218,0.450993,0.891001,27.0007,-83.4002,28,32
12,12,0.206092,0.351153,0.913355,24.0268,-59.5913,30,31
11,14,0.324144,0.243263,0.914196,23.9082,-36.8874,32,30
10,17,0.407189,-0.018466,0.913157,24.0546,2.5966,35,29
14,9,-0.088248,0.462074,0.88244,28.0619,-100.8123,27,33
16,7,-0.360534,0.441239,0.821781,34.7365,-129.252,25,35
11,15,0.331472,0.164374,0.929036,21.715,-26.3765,33,30
15,8,-0.214614,0.475399,0.853192,31.4395,-114.2963,26,34
13,11,0.091772,0.397564,0.912974,24.0804,-77.0018,29,32
12,13,0.230974,0.294136,0.927435,21.9616,-51.8588,31,31
18,7,-0.535171,0.273675,0.799183,36.9478,-152.9158,25,37
17,7,-0.448887,0.362626,0.816702,35.244,-141.0675,25,36
11,16,0.348742,0.079577,0.933834,20.9594,-12.8538,34,30
14,10,-0.035464,0.421831,0.905981,25.0443,-94.8056,28,33
11,17,0.32983,0.00698,0.944014,19.263,-1.2124,35,30
12,14,0.256243,0.233002,0.938109,20.2636,-42.2803,32,31
13,12,0.118987,0.333255,0.935299,20.7236,-70.3512,30,32
16,8,-0.305113,0.422962,0.853234,31.4348,-125.8056,26,35
15,9,-0.184031,0.424134,0.886704,27.5381,-113.456,27,34
12,15,0.270038,0.161395,0.949227,18.3362,-30.8657,33,31
14,11,0.011819,0.378962,0.925337,22.2808,-88.2137,29,33
13,13,0.153077,0.27178,0.950107,18.1753,-60.6101,31,32
17,8,-0.400607,0.335034,0.852799,31.4826,-140.0937,26,36
